id,prompt,function
812,Calculate the total surface area of all doors in the building.,sum([calculate_element_area(door) for door in ifc_obj.by_type('IfcDoor')])
813,Find the combined surface area of all doors.,sum([calculate_element_area(door) for door in ifc_obj.by_type('IfcDoor')])
814,What is the overall surface area of all doors?,sum([calculate_element_area(door) for door in ifc_obj.by_type('IfcDoor')])
815,Get the combined surface area of all doors.,sum([calculate_element_area(door) for door in ifc_obj.by_type('IfcDoor')])
1101,How many doors have automaticopener?,"len([door for door in ifc_obj.by_type('IfcDoor') if hasattr(door, 'AutomaticOpener') and door.AutomaticOpener])"
9301,"Select all walls with an area greater than 299 square meters.",[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_area(wall) > 299]
9302,"Find walls where the area is less than 150 square meters.",[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_area(wall) < 150]
9303,"List all walls with an area exceeding 500 square feet.",[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_area(wall) > 46.45] # 500 square feet to square meters
9304,"Show me the walls with an area smaller than 250 square feet.",[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_area(wall) < 23.23] # 250 square feet to square meters
9305,"Get all walls that have an area more than 100 square meters.",[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_area(wall) > 100]
9306,"Select all walls with a volume greater than 50 cubic meters.",[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_volume(wall) > 50]
9307,"Find walls where the volume is less than 30 cubic meters.",[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_volume(wall) < 30]
9308,"List all walls with a volume exceeding 75 cubic feet.",[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_volume(wall) > 2.12] # 75 cubic feet to cubic meters
9309,"Show me the walls with a volume smaller than 20 cubic feet.",[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_volume(wall) < 0.57] # 20 cubic feet to cubic meters
9310,"Get all walls that have a volume more than 40 cubic meters.",[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_volume(wall) > 40]
9311,"Select all walls with a length greater than 10 meters.",[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_length(wall) > 10]
9312,"Find walls where the length is less than 5 meters.",[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_length(wall) < 5]
9313,"List all walls with a length exceeding 12 meters.",[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_length(wall) > 12]
9314,"Show me the walls with a length smaller than 4 meters.",[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_length(wall) < 4]
9315,"Get all walls that have a length more than 8 meters.",[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_length(wall) > 8]
9316,"Select all walls with a width greater than 0.5 meters.",[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_width(wall) > 0.5]
9317,"Find walls where the width is less than 0.3 meters.",[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_width(wall) < 0.3]
9318,"List all walls with a width exceeding 0.7 meters.",[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_width(wall) > 0.7]
9319,"Show me the walls with a width smaller than 0.2 meters.",[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_width(wall) < 0.2]
9320,"Get all walls that have a width more than 0.6 meters.",[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_width(wall) > 0.6]
9321,"Select all walls with a thickness greater than 0.3 meters.",[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_thickness(wall) > 0.3]
9322,"Find walls where the thickness is less than 0.2 meters.",[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_thickness(wall) < 0.2]
9323,"List all walls with a thickness exceeding 0.4 meters.",[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_thickness(wall) > 0.4]
9324,"Show me the walls with a thickness smaller than 0.1 meters.",[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_thickness(wall) < 0.1]
9325,"Get all walls that have a thickness more than 0.5 meters.",[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_thickness(wall) > 0.5]
9326,"Select all columns with a volume greater than 30 cubic meters.",[column for column in ifc_obj.by_type('IfcColumn') if calculate_element_volume(column) > 30]
9327,"Find beams where the volume is less than 15 cubic meters.",[beam for beam in ifc_obj.by_type('IfcBeam') if calculate_element_volume(beam) < 15]
9328,"List all doors with a volume exceeding 0.5 cubic meters.",[door for door in ifc_obj.by_type('IfcDoor') if calculate_element_volume(door) > 0.5]
9329,"Show me the columns with a volume smaller than 20 cubic meters.",[column for column in ifc_obj.by_type('IfcColumn') if calculate_element_volume(column) < 20]
9330,"Get all slabs that have a volume more than 50 cubic meters.",[slab for slab in ifc_obj.by_type('IfcSlab') if calculate_element_volume(slab) > 50]
9331,"Select all beams with a length greater than 15 meters.",[beam for beam in ifc_obj.by_type('IfcBeam') if calculate_element_length(beam) > 15]
9332,"Find doors where the height is less than 2 meters.",[door for door in ifc_obj.by_type('IfcDoor') if calculate_element_height(door) < 2]
9333,"List all columns with a height exceeding 6 meters.",[column for column in ifc_obj.by_type('IfcColumn') if calculate_element_height(column) > 6]
9334,"Show me the windows with a length smaller than 1.5 meters.",[window for window in ifc_obj.by_type('IfcWindow') if calculate_element_length(window) < 1.5]
9335,"Get all slabs that have a length more than 10 meters.",[slab for slab in ifc_obj.by_type('IfcSlab') if calculate_element_length(slab) > 10]
9336,"Select all beams with a width greater than 0.5 meters.",[beam for beam in ifc_obj.by_type('IfcBeam') if calculate_element_width(beam) > 0.5]
9337,"Find slabs where the width is less than 0.3 meters.",[slab for slab in ifc_obj.by_type('IfcSlab') if calculate_element_width(slab) < 0.3]
9338,"List all windows with a width exceeding 2 meters.",[window for window in ifc_obj.by_type('IfcWindow') if calculate_element_width(window) > 2]
9339,"Show me the doors with a width smaller than 0.9 meters.",[door for door in ifc_obj.by_type('IfcDoor') if calculate_element_width(door) < 0.9]
9340,"Get all columns that have a width more than 0.4 meters.",[column for column in ifc_obj.by_type('IfcColumn') if calculate_element_width(column) > 0.4]
9341,"Select all doors with a height greater than 2.5 meters.",[door for door in ifc_obj.by_type('IfcDoor') if calculate_element_height(door) > 2.5]
9342,"Find windows where the height is less than 1 meter.",[window for window in ifc_obj.by_type('IfcWindow') if calculate_element_height(window) < 1]
9343,"List all columns with a height exceeding 10 meters.",[column for column in ifc_obj.by_type('IfcColumn') if calculate_element_height(column) > 10]
9344,"Show me the beams with a height smaller than 0.6 meters.",[beam for beam in ifc_obj.by_type('IfcBeam') if calculate_element_height(beam) < 0.6]
9345,"Get all slabs that have a height more than 0.2 meters.",[slab for slab in ifc_obj.by_type('IfcSlab') if calculate_element_height(slab) > 0.2]
9346,"Find all walls with an area exceeding 100 square meters.","[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_area(wall) > 100]"
9347,"List the walls where the area is more than 50 square meters.","[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_area(wall) > 50]"
9348,"Select walls with areas greater than 150 square meters.","[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_area(wall) > 150]"
9349,"Retrieve all walls that have an area larger than 300 square meters.","[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_area(wall) > 300]"
9350,"Show me the walls with an area above 500 square meters.","[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_area(wall) > 500]"
9351,"Identify walls that have areas exceeding 299 square meters.","[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_area(wall) > 299]"
9352,"Get all walls with area over 299 square meters.","[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_area(wall) > 299]"
9353,"Fetch walls with an area greater than 299 square meters.","[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_area(wall) > 299]"
9354,"Which walls have an area bigger than 299 square meters?","[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_area(wall) > 299]"
9355,"Select walls where the area is greater than 299 sqm.","[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_area(wall) > 299]"
9356,"Find walls with area larger than 299 sqm.","[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_area(wall) > 299]"
9357,"Show all walls with area above 299 sqm.","[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_area(wall) > 299]"
9358,"Identify walls with an area exceeding 299 sqm.","[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_area(wall) > 299]"
9359,"Retrieve walls with an area over 299 sqm.","[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_area(wall) > 299]"
9360,"Select all walls with areas that are more than 299 square meters.","[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_area(wall) > 299]"
9361,"List all walls where the area surpasses 299 square meters.","[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_area(wall) > 299]"
9362,"Fetch all walls with an area that exceeds 299 square meters.","[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_area(wall) > 299]"
9363,"Which walls have an area more than 299 square meters?","[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_area(wall) > 299]"
9364,"Find walls with areas greater than 299 sqm.","[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_area(wall) > 299]"
9365,"Get the walls with an area that is greater than 299 sqm.","[wall for wall in ifc_obj.by_type('IfcWall') if calculate_element_area(wall) > 299]"
9400,"Select all the windows from the 1st and 2nd floors.","[window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [0, 1])]"
9401,"Select the doors from the 1st floor.","[door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [0])]"
9402,"Select the walls from the 2nd floor.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [1])]"
9403,"Select the beams from the 4th floor.","[beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [3])]"
9404,"Select the doors from the 1st floor with height greater than 1.8 meters.","[door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [0]) if calculate_element_height(door) > 1.8]"
9405,"Select the windows from the 2nd floor.","[window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [1])]"
9406,"Select the beams from the 4th floor with a length greater than 5 meters.","[beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [3]) if calculate_element_length(beam) > 5]"
9407,"Select the walls from the 1st floor with an area greater than 50 square meters.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [0]) if calculate_element_area(wall) > 50]"
9408,"Select the doors from the 1st floor with a width greater than 1.5 meters.","[door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [0]) if calculate_element_width(door) > 1.5]"
9409,"Select the spaces from the 2nd floor with an area greater than 100 square meters.","[space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [1]) if calculate_element_area(space) > 100]"
9410,"Select all the walls from the 1st floor with a volume greater than 10 cubic meters.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [0]) if calculate_element_volume(wall) > 10]"
9411,"Select the doors from the 2nd floor with a height greater than 2 meters.","[door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [1]) if calculate_element_height(door) > 2]"
9412,"Select the spaces from the 3rd floor with an area greater than 150 square meters.","[space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [2]) if calculate_element_area(space) > 150]"
9413,"Select the windows from the 3rd floor.","[window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [2])]"
9414,"Select all the walls from the 2nd and 3rd floors.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [1, 2])]"
9415,"Select the columns from the 2nd floor with height greater than 3 meters.","[column for column in get_elements_by_floors_and_types(ifc_obj, ['IfcColumn'], [1]) if calculate_element_height(column) > 3]"
9416,"Select the beams from the 4th floor with width greater than 0.5 meters.","[beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [3]) if calculate_element_width(beam) > 0.5]"
9417,"Select the walls from the 1st floor with a thickness greater than 0.3 meters.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [0]) if calculate_element_thickness(wall) > 0.3]"
9418,"Select the spaces from the 2nd floor with a volume greater than 200 cubic meters.","[space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [1]) if calculate_element_volume(space) > 200]"
9419,"Select all the doors from the 3rd floor.","[door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [2])]"
9420,"Show all the windows on the 2nd and 3rd floors.","[window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [1, 2])]"
9421,"List the doors from the ground floor with a width larger than 1 meter.","[door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [0]) if calculate_element_width(door) > 1.0]"
9422,"Get all walls from the 1st floor that are taller than 2.5 meters.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [0]) if calculate_element_height(wall) > 2.5]"
9423,"Find the beams on the 3rd floor that are longer than 6 meters.","[beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [2]) if calculate_element_length(beam) > 6]"
9424,"Fetch all the doors on the 1st floor that have a height greater than 2 meters.","[door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [0]) if calculate_element_height(door) > 2]"
9425,"Retrieve windows from the 4th floor.","[window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [3])]"
9426,"Find the beams from the 5th floor that are wider than 0.8 meters.","[beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [4]) if calculate_element_width(beam) > 0.8]"
9427,"Show me the walls on the ground floor that have an area larger than 60 square meters.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [0]) if calculate_element_area(wall) > 60]"
9428,"Display all doors on the 1st floor where the width exceeds 1.2 meters.","[door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [0]) if calculate_element_width(door) > 1.2]"
9429,"List the spaces from the 2nd floor with an area more than 120 square meters.","[space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [1]) if calculate_element_area(space) > 120]"
9430,"Get all walls on the 3rd floor with a volume greater than 20 cubic meters.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [2]) if calculate_element_volume(wall) > 20]"
9431,"Show all the doors on the 2nd floor with a height exceeding 2.2 meters.","[door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [1]) if calculate_element_height(door) > 2.2]"
9432,"List the windows on the 4th floor.","[window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [3])]"
9433,"Get the doors from the 3rd floor where the width is larger than 1.5 meters.","[door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [2]) if calculate_element_width(door) > 1.5]"
9434,"Fetch all the walls on the 5th floor with an area more than 75 square meters.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [4]) if calculate_element_area(wall) > 75]"
9435,"Retrieve all spaces on the 2nd floor that have a volume greater than 250 cubic meters.","[space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [1]) if calculate_element_volume(space) > 250]"
9436,"Find the windows from the 1st floor with height more than 1.5 meters.","[window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [0]) if calculate_element_height(window) > 1.5]"
9437,"List all beams on the 4th floor that are taller than 2 meters.","[beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [3]) if calculate_element_height(beam) > 2]"
9438,"Get the walls from the 1st and 2nd floors that have a thickness greater than 0.25 meters.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [0, 1]) if calculate_element_thickness(wall) > 0.25]"
9439,"Display all spaces from the 3rd floor with an area larger than 90 square meters.","[space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [2]) if calculate_element_area(space) > 90]"
9440,"Show the doors from the 2nd floor that have a height of more than 2.4 meters.","[door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [1]) if calculate_element_height(door) > 2.4]"
9441,"Find the walls on the 3rd floor with a volume exceeding 15 cubic meters.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [2]) if calculate_element_volume(wall) > 15]"
9442,"Show the windows from the 5th floor.","[window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [4])]"
9443,"Fetch all beams on the 2nd floor that are longer than 4 meters.","[beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [1]) if calculate_element_length(beam) > 4]"
9444,"Get the walls on the 4th floor that have an area greater than 85 square meters.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [3]) if calculate_element_area(wall) > 85]"
9445,"List all doors on the 3rd floor that are taller than 2 meters.","[door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [2]) if calculate_element_height(door) > 2]"
9446,"Find the walls on the ground floor with a thickness exceeding 0.2 meters.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [0]) if calculate_element_thickness(wall) > 0.2]"
9447,"Show the spaces on the 2nd floor with a volume greater than 300 cubic meters.","[space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [1]) if calculate_element_volume(space) > 300]"
9448,"List the doors on the 1st floor with a width greater than 1.8 meters.","[door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [0]) if calculate_element_width(door) > 1.8]"
9449,"Retrieve all walls on the 5th floor that have a height larger than 3 meters.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [4]) if calculate_element_height(wall) > 3]"
9450,"Select all the walls from the 1st and 2nd floors with an area greater than 50 square meters.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [0, 1]) if calculate_element_area(wall) > 50]"
9451,"Show all doors from the 2nd and 3rd floors where the width is less than 1.2 meters.","[door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [1, 2]) if calculate_element_width(door) < 1.2]"
9452,"List all beams on the 1st and 3rd floors with a height exceeding 3 meters.","[beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [0, 2]) if calculate_element_height(beam) > 3]"
9453,"Find all spaces from the 2nd and 4th floors that have an area larger than 100 square meters.","[space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [1, 3]) if calculate_element_area(space) > 100]"
9454,"Retrieve all walls from the 1st and 3rd floors where the volume is less than 25 cubic meters.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [0, 2]) if calculate_element_volume(wall) < 25]"
9455,"Get all windows from the 2nd and 3rd floors that are taller than 1.5 meters.","[window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [1, 2]) if calculate_element_height(window) > 1.5]"
9456,"Fetch all columns on the 2nd floor with a height smaller than 4 meters.","[column for column in get_elements_by_floors_and_types(ifc_obj, ['IfcColumn'], [1]) if calculate_element_height(column) < 4]"
9457,"Show all doors from the 3rd and 4th floors where the width is greater than 1 meter.","[door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [2, 3]) if calculate_element_width(door) > 1]"
9458,"List all the beams from the 1st and 2nd floors that have a length less than 5 meters.","[beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [0, 1]) if calculate_element_length(beam) < 5]"
9459,"Retrieve all the spaces on the 2nd and 4th floors with a volume greater than 200 cubic meters.","[space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [1, 3]) if calculate_element_volume(space) > 200]"
9460,"Find all walls on the 1st and 3rd floors where the thickness is less than 0.3 meters.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [0, 2]) if calculate_element_thickness(wall) < 0.3]"
9461,"Show all doors from the 2nd and 4th floors with a height exceeding 2.1 meters.","[door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [1, 3]) if calculate_element_height(door) > 2.1]"
9462,"List all windows from the 1st and 2nd floors where the height is smaller than 1.8 meters.","[window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [0, 1]) if calculate_element_height(window) < 1.8]"
9463,"Fetch all walls from the 2nd and 3rd floors with an area less than 60 square meters.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [1, 2]) if calculate_element_area(wall) < 60]"
9464,"Show all the beams on the 1st and 3rd floors that have a length greater than 6 meters.","[beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [0, 2]) if calculate_element_length(beam) > 6]"
9465,"Retrieve all doors from the ground and 1st floors that have a width greater than 1.5 meters.","[door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [0, 1]) if calculate_element_width(door) > 1.5]"
9466,"Find all windows on the 2nd and 4th floors with a height greater than 1.6 meters.","[window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [1, 3]) if calculate_element_height(window) > 1.6]"
9467,"Select all walls from the 2nd and 3rd floors with an area over 75 square meters.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [1, 2]) if calculate_element_area(wall) > 75]"
9468,"Show all doors from the first and second floors where the width exceeds 1.2 meters.","[door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [0, 1]) if calculate_element_width(door) > 1.2]"
9469,"List all beams on the 4th and 5th floors that are longer than 5 meters.","[beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [3, 4]) if calculate_element_length(beam) > 5]"
9470,"Find all windows from the third and fourth floors that have a height less than 1.8 meters.","[window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [2, 3]) if calculate_element_height(window) < 1.8]"
9471,"Retrieve the doors from the 2nd and 3rd floors where the height is greater than 2 meters.","[door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [1, 2]) if calculate_element_height(door) > 2]"
9472,"Fetch all walls on the ground floor and the first floor that have an area under 65 square meters.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [0, 1]) if calculate_element_area(wall) < 65]"
9473,"Get all the beams from the second and third floors that are shorter than 4 meters.","[beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [1, 2]) if calculate_element_length(beam) < 4]"
9474,"List the spaces from the 1st and 2nd floors with a volume exceeding 250 cubic meters.","[space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [0, 1]) if calculate_element_volume(space) > 250]"
9475,"Find all windows from the 3rd floor with a height of more than 1.6 meters.","[window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [2]) if calculate_element_height(window) > 1.6]"
9476,"Retrieve all doors from the 4th floor where the width is smaller than 1.5 meters.","[door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [3]) if calculate_element_width(door) < 1.5]"
9477,"Show all walls on the 2nd and 3rd floors with a thickness greater than 0.3 meters.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [1, 2]) if calculate_element_thickness(wall) > 0.3]"
9478,"Fetch the beams from the first and second floors that are taller than 3 meters.","[beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [0, 1]) if calculate_element_height(beam) > 3]"
9479,"Find the spaces from the 2nd floor with a volume less than 200 cubic meters.","[space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [1]) if calculate_element_volume(space) < 200]"
9480,"Retrieve all the windows from the 4th floor that are taller than 1.75 meters.","[window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [3]) if calculate_element_height(window) > 1.75]"
9481,"List all doors on the 1st and 2nd floors where the height exceeds 2.1 meters.","[door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [0, 1]) if calculate_element_height(door) > 2.1]"
9482,"Get all walls on the 3rd and 4th floors with an area smaller than 50 square meters.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [2, 3]) if calculate_element_area(wall) < 50]"
9483,"Show all spaces on the 2nd floor where the area is greater than 100 square meters.","[space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [1]) if calculate_element_area(space) > 100]"
9484,"Find the columns on the 1st and 3rd floors with a height of less than 4 meters.","[column for column in get_elements_by_floors_and_types(ifc_obj, ['IfcColumn'], [0, 2]) if calculate_element_height(column) < 4]"
9485,"Retrieve all beams from the 1st floor that are longer than 7 meters.","[beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [0]) if calculate_element_length(beam) > 7]"
9486,"Fetch all the walls on the 5th floor with a volume greater than 15 cubic meters.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [4]) if calculate_element_volume(wall) > 15]"
9487,"List the windows from the 4th and 5th floors with a height exceeding 1.8 meters.","[window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [3, 4]) if calculate_element_height(window) > 1.8]"
9488,"Show all the doors from the ground floor where the width is larger than 1 meter.","[door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [0]) if calculate_element_width(door) > 1]"
9489,"Get the walls from the 2nd and 3rd floors that have an area of less than 45 square meters.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [1, 2]) if calculate_element_area(wall) < 45]"
9490,"Find the beams on the 4th and 5th floors with a width smaller than 0.8 meters.","[beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [3, 4]) if calculate_element_width(beam) < 0.8]"
9491,"Select all doors from the 1st floor with a height smaller than 2 meters.","[door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [0]) if calculate_element_height(door) < 2]"
9492,"List all walls on the 3rd floor that have a thickness of more than 0.4 meters.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [2]) if calculate_element_thickness(wall) > 0.4]"
9493,"Find all beams from the 2nd and 4th floors with a length exceeding 6 meters.","[beam for beam in get_elements_by_floors_and_types(ifc_obj, ['IfcBeam'], [1, 3]) if calculate_element_length(beam) > 6]"
9494,"Fetch the spaces from the 1st and 2nd floors with a volume greater than 220 cubic meters.","[space for space in get_elements_by_floors_and_types(ifc_obj, ['IfcSpace'], [0, 1]) if calculate_element_volume(space) > 220]"
9495,"Get all windows from the 4th and 5th floors that have a width less than 1 meter.","[window for window in get_elements_by_floors_and_types(ifc_obj, ['IfcWindow'], [3, 4]) if calculate_element_width(window) < 1]"
9496,"Show all the walls on the 1st and 3rd floors with an area exceeding 80 square meters.","[wall for wall in get_elements_by_floors_and_types(ifc_obj, ['IfcWall', 'IfcWallStandardCase'], [0, 2]) if calculate_element_area(wall) > 80]"
9497,"List all columns from the 2nd floor that have a height smaller than 3 meters.","[column for column in get_elements_by_floors_and_types(ifc_obj, ['IfcColumn'], [1]) if calculate_element_height(column) < 3]"
9498,"Retrieve all doors from the ground floor and the 2nd floor that are wider than 1.4 meters.","[door for door in get_elements_by_floors_and_types(ifc_obj, ['IfcDoor'], [0, 1]) if calculate_element_width(door) > 1.4]"
